Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,MT_H,MT_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2790313,2025-10-24,14:00,Holland Eerste Divisie  ,Jong Ajax (Youth),Emmen,3.1,4.0,2.05,0.93,0/-0.5,0.88,1.98,3/3.5,1.83,D,6.0,6.0,-0.1666666666666666,-1.690000000000003,-0.1666666666666666,3.3299999999999965,0.0,-1.690000000000003,0.4364905634363539,-0.3333333333333333,-6.700000000000006,0.2999883213415286,-5.02,5.010000000000003,0.7364788847778825,-0.6970052150772857,-0.44980291529955424,-0.04331202683158462,-0.7612105286300316,0.7130759578789982,0.07521109295004264,0.6536931882457011,0.31140761333047734,Away,Home
2790312,2025-10-24,14:00,Holland Eerste Divisie  ,Helmond Sport,Dordrecht,2.1,4.0,3.0,0.9,0/0.5,0.9,1.98,3,1.83,H,6.0,6.0,0.5,26.700000000000003,0.0,15.01,0.8333333333333334,43.3,0.2999883213415286,0.3333333333333333,-1.690000000000003,0.1176182311592532,11.690000000000003,44.99,0.41760655250078177,0.7738495156833295,1.5808694957292722,0.536016332059444,-0.530901061525312,1.126990668339356,-1.1362503677671838,0.2378331836238855,2.111770557254584,Home,Home
2790311,2025-10-24,14:00,Holland Eerste Divisie  ,FC Eindhoven,VVV Venlo,3.0,3.8,2.15,0.98,0/-0.5,0.83,1.8,2.5/3,2.0,D,6.0,5.0,0.1666666666666666,-1.690000000000003,-0.6,-14.0,0.0,-1.690000000000003,0.1876128068994087,-0.6,-14.0,0.3755282641185388,12.309999999999997,12.309999999999997,0.5631410710179475,-0.6970052150772857,-0.44980291529955424,-0.902880559330003,-1.0967911892816191,-0.11333896607387298,0.33512721932117556,0.20587534425271725,0.6469882739820649,Home,Home
2790310,2025-10-24,14:00,Holland Eerste Divisie  ,De Graafschap,Jong PSV Eindhoven (Youth),1.51,4.75,4.5,0.85,1,0.95,1.83,3.5,1.98,A,6.0,6.0,1.0,-6.700000000000006,-0.6666666666666666,10.0,1.0,-18.330000000000005,0.1876128068994087,-0.8333333333333334,31.67,0.1876128068994087,-16.700000000000006,-50.00000000000001,0.3752256137988174,-0.9565678146232768,-1.2008673500521585,0.28752017811731617,1.002656587698929,0.4151537322475143,-0.9095529449925824,1.244087992740593,2.2035239377510876,Away,Away
2790309,2025-10-24,14:00,Holland Eerste Divisie  ,Almere City FC,AZ Alkmaar (Youth),1.75,4.1,4.0,0.85,0.5/1,0.95,1.9,3/3.5,1.9,D,6.0,6.0,0.8333333333333334,15.01,-0.1666666666666666,-6.700000000000006,0.8333333333333334,-1.690000000000003,0.2999883213415286,-0.5,-6.700000000000006,0.1876128068994087,21.710000000000008,5.010000000000003,0.48760112824093726,0.16820345007601736,-0.44980291529955424,-0.5408003350231101,-0.7612105286300316,-0.34505789423529437,-0.8558404910484414,0.7090037850991274,0.31140761333047734,Home,Home
2792647,2025-10-24,14:30,Poland Liga 1  ,Odra Opole,Ruch Chorzow,2.55,3.0,2.8,0.8,0,1.0,1.9,2/2.5,1.9,H,7.0,7.0,-0.1428571428571428,25.68,-0.5714285714285714,-2.8600000000000003,-0.2857142857142857,35.690000000000005,0.0822171657090154,-0.5714285714285714,-7.110000000000003,0.2999883213415286,28.54,42.80000000000001,0.38220548705054397,0.7722210976859193,1.209076576731593,-0.2927344145183658,-0.5610140573004497,1.0,0.986333000621534,1.064955512204285,1.7700906340320426,Home,Home
2785383,2025-10-24,14:30,Poland Ekstraklasa  ,Motor Lublin,Widzew lodz,2.88,3.5,2.4,1.03,0,0.78,1.9,2.5/3,1.9,D,5.0,5.0,0.2,-2.0,-0.6,-8.0,0.6,-14.0,0.1176182311592532,-0.6,-20.0,0.3755282641185388,6.0,6.0,0.493146495277792,-0.519693285987958,-1.0243875143313852,-0.29243401082007786,-0.9421950695559803,-1.0,1.0,0.2272592751678802,0.08219244477540488,Away,Away
2701297,2025-10-24,14:45,Ireland Premier Division  ,Galway United,Drogheda United,2.05,3.4,3.4,1.03,0.5,0.78,1.78,2/2.5,2.03,D,17.0,17.0,0.3529411764705882,2.349999999999996,-0.6470588235294118,28.24,0.2941176470588235,4.700000000000003,0.386406470979348,-0.5882352941176471,12.380000000000004,0.2161078603913138,-25.89,-7.6800000000000015,0.6025143313706618,-0.5494726445350205,-0.649953480411177,1.4223234007136814,0.1998252817143458,-0.60503269643032,-1.429743160613119,1.971796045248702,0.8497787621255227,Away,Away
2791813,2025-10-24,14:45,Belgian Pro League  ,Charleroi,Anderlecht,2.88,3.4,2.4,0.8,0/-0.5,1.0,1.9,2.5,1.9,D,5.0,5.0,0.8,6.0,0.4,0.0,1.0,-20.0,0.1176182311592532,0.6,0.0,0.0362231609697874,6.0,-20.0,0.1538413921290406,-0.17556500182182624,-1.207433956638778,-0.18813753878831485,-0.2935730702388433,-1.0,-1.1107044122270995,0.012572536966488607,0.9138608863999347,Home,Away
2824004,2025-10-24,14:45,Welsh Premier League  ,Llanelli,The New Saints,51.0,19.0,1.02,0.95,-3.5/4,0.85,1.8,4/4.5,2.0,A,7.0,6.0,-0.7142857142857143,17.099999999999998,1.0,26.700000000000003,-0.7142857142857143,-11.400000000000002,0.1582169222626268,1.0,26.700000000000003,0.0967693325592168,-9.600000000000005,-38.10000000000001,0.25498625482184356,-0.002699936345670988,-0.643021139062452,1.025819986594004,0.7155681448277649,0.23606468033999267,1.1366993956493765,1.028519922939675,1.358589283890217,Away,Away
