Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2865639,2025-10-12,14:00,Chile Cup  ,Deportes La Serena,Deportes Limache,2.55,3.25,2.7,0.78,0,1.03,1.85,2.5,1.95,D,11.0,11.0,-0.2727272727272727,-8.190000000000001,-0.5454545454545454,26.329999999999995,-0.1818181818181818,10.92,0.2127095754398804,-0.9090909090909092,-9.970000000000002,0.4343497069897538,-34.519999999999996,20.89,0.6470592824296342,-1.0810378851335407,0.4946840245797466,0.882722118098845,0.10828859767088546,1.9637600032323856,0.38639542690886114,Away,Home
2885007,2025-10-12,14:00,Peru Primera Division  ,Ayacucho Futbol Club,AD Tarma,2.8,3.2,2.45,1.05,0/0.5,0.75,2.0,2.5,1.8,D,14.0,14.0,-0.2142857142857142,-0.0099999999999984,-0.5714285714285714,2.120000000000001,-0.0714285714285714,-16.430000000000003,0.2320575430148813,-0.8571428571428571,-0.0099999999999984,0.2320575430148813,-2.1299999999999994,-16.420000000000005,0.4641150860297626,0.6270793958357997,-0.9129417118846456,-0.24684133869390523,-0.519531795561252,0.873920734529705,0.3934099163233936,Home,Away
2887376,2025-10-12,14:00,Argentine Division 2,Gimnasia Jujuy,CA San Miguel,2.15,2.88,4.0,0.8,0/0.5,1.0,1.93,1.5/2,1.88,H,16.0,17.0,0.9375,3.7999999999999936,-0.1176470588235294,-18.23,1.0,16.2,0.3011663015105079,-0.2352941176470588,-7.060000000000002,0.2161078603913138,22.029999999999994,23.26,0.5172741619018217,0.11612093951955427,0.3030796955348065,-1.785616287536018,-0.8933970059102777,1.9017372270555724,1.1964767014450843,Home,Home
2745148,2025-10-12,15:00,Brazil Serie B  ,Gremio Novorizontino,Operario Ferroviario PR,1.91,3.0,4.75,0.83,0.5,0.98,1.9,2,1.9,D,15.0,15.0,0.8666666666666667,-20.0,-0.5333333333333333,12.0,1.0,8.669999999999996,0.3906175873976139,-0.8,-2.6700000000000035,0.2800877556899882,-32.0,11.34,0.6707053430876021,-1.3433483606347296,-0.001621272335326023,-0.18368913303866516,-0.5863403431907428,1.1596592275960644,0.5847190708554167,Away,Home
2815650,2025-10-12,15:00,Categoria Primera A  ,Independiente Santa Fe,Llaneros FC,1.57,3.75,6.25,0.83,1,0.98,1.85,2/2.5,1.95,A,20.0,17.0,0.6,4.5,-0.8235294117647058,10.6,0.75,1.5,0.3096289731154949,-0.9411764705882352,18.799999999999997,0.3600507438551554,-6.1,-17.299999999999997,0.6696797169706503,-0.46912338111057855,-0.8455051586409406,0.3105247659471247,1.0510930935469727,0.7796481470577032,1.8965982521879132,Away,Away
2885004,2025-10-12,15:00,Uruguay Primera Division  ,Danubio FC,Nacional Montevideo,6.25,3.6,1.55,0.78,-1/1.5,1.03,1.98,2/2.5,1.83,D,15.0,14.0,0.2,3.3299999999999965,0.9285714285714286,-4.299999999999997,0.6,-2.6700000000000035,0.2914343243183204,0.9285714285714286,11.439999999999998,0.4535045882751561,7.629999999999994,-14.110000000000001,0.7449389125934764,0.35951035578824736,-0.8786656146233903,-0.14791505840364322,1.7301622751676786,0.5074254141918906,2.608827889791069,Home,Away
2886360,2025-10-12,15:00,Colombia Primera B  ,Bogota FC,Real Soacha Cundinamarca,3.4,3.25,2.15,0.95,0,0.85,1.95,2/2.5,1.85,D,13.0,16.0,-0.3076923076923077,-9.97,-0.5,36.86,-0.3076923076923077,23.81,0.2914343243183204,-0.5,22.5,0.2480922525974644,-46.83,1.3099999999999987,0.5395265769157848,-1.688530037840237,0.1435325735048119,1.7422471041392942,0.7170544719541426,3.430777141979531,0.5735218984493307,Away,Away
2776236,2025-10-12,15:45,Argentine Division 1  ,Independiente Rivadavia,Godoy Cruz Antonio Tomba,2.15,3.1,3.9,0.93,0.5,0.88,1.8,1.5/2,2.0,D,13.0,13.0,0.2307692307692307,-2.31,-0.6923076923076923,8.470000000000002,0.3076923076923077,10.78,0.3537967768916372,-0.7692307692307693,8.470000000000002,0.4343497069897538,-10.780000000000003,2.309999999999997,0.788146483881391,0.4031963047788397,1.0653940488515323,0.4147078692521635,0.45417320800200756,0.011511564473323799,0.6112208408495248,Away,Home
2776237,2025-10-12,15:45,Argentine Division 1  ,Instituto AC Cordoba,Atletico Tucuman,2.15,3.1,3.8,0.8,0/0.5,1.0,2.0,2,1.8,D,13.0,13.0,0.3846153846153846,-4.579999999999999,-0.4615384615384615,5.389999999999997,0.5384615384615384,3.0799999999999974,0.3537967768916372,-0.7692307692307693,-9.200000000000005,0.1516622361413138,-9.969999999999995,12.280000000000001,0.505459013032951,-0.48039982971642653,0.4458856393180079,0.8378246003228433,-0.4564698504478494,1.3182244300392698,0.9023554897658572,Away,Home
2887310,2025-10-12,16:10,Argentine Division 2,Estudiantes de Caseros,Deportivo Maipu,1.65,3.4,6.0,0.78,0.5,1.03,1.75,1.5/2,2.05,D,16.0,17.0,0.75,5.0,-0.4705882352941176,4.119999999999997,1.0,16.2,0.3011663015105079,-0.8235294117647058,20.57,0.3317819560677652,0.8800000000000026,-4.370000000000001,0.6329482575782731,-0.09780565072466124,-0.2709395795805088,0.3961954399254551,1.3751499530422084,0.4940010906501163,1.6460895326227172,Away,Away
